Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,60984,674
100,50,122816,697
100,75,181060,695
100,100,244053,584
200,25,227333,1894
200,50,518006,2226
200,75,469121,1954
200,100,826673,1889
300,25,381319,3348
300,50,1022607,4416
300,75,0,0
300,100,0,0
