Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,51684,32
100,50,99766,45
100,75,143435,32
100,100,210396,25
200,25,199207,68
200,50,409473,124
200,75,327990,97
200,100,700274,71
300,25,317831,189
300,50,873280,217
300,75,0,0
300,100,0,0
