Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,53294,1010
100,50,110945,1033
100,75,167100,1042
100,100,236246,983
200,25,207294,3048
200,50,460439,3337
200,75,411853,2758
200,100,776822,3047
300,25,343040,5337
300,50,941191,7280
300,75,0,0
300,100,0,0
