Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,63171,187
100,50,130863,227
100,75,190119,232
100,100,255540,229
200,25,245290,329
200,50,568213,404
200,75,554512,376
200,100,918642,338
300,25,429777,706
300,50,1153666,845
300,75,0,0
300,100,0,0
