Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,61300,884
100,50,124519,896
100,75,182662,902
100,100,247381,798
200,25,232865,2949
200,50,535529,3681
200,75,506098,2835
200,100,875802,3025
300,25,399080,5564
300,50,1065721,7508
300,75,0,0
300,100,0,0
