Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,62894,526
100,50,129545,608
100,75,189987,704
100,100,256282,646
200,25,243086,1186
200,50,563854,1485
200,75,552085,1218
200,100,916860,1257
300,25,427475,1747
300,50,1148887,2249
300,75,0,0
300,100,0,0
