Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,63294,169
100,50,130351,184
100,75,189671,208
100,100,254410,193
200,25,244431,412
200,50,564937,569
200,75,547390,463
200,100,913115,420
300,25,427734,968
300,50,1139192,1374
300,75,0,0
300,100,0,0
