Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,62089,522
100,50,125088,524
100,75,182109,563
100,100,249684,517
200,25,238781,1080
200,50,539629,1298
200,75,511343,1012
200,100,873646,1139
300,25,414312,1481
300,50,1094765,2159
300,75,0,0
300,100,0,0
