Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,59867,262
100,50,120847,300
100,75,177792,296
100,100,240857,222
200,25,226484,904
200,50,515943,1319
200,75,456286,981
200,100,820437,889
300,25,371933,2497
300,50,1010649,3016
300,75,0,0
300,100,0,0
