Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,61786,484
100,50,125981,513
100,75,180377,547
100,100,245875,462
200,25,236354,1197
200,50,533589,1418
200,75,495109,1171
200,100,867241,1228
300,25,406411,1790
300,50,1076325,2180
300,75,0,0
300,100,0,0
