Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,61843,987
100,50,128535,1010
100,75,188331,968
100,100,254173,895
200,25,238705,3284
200,50,553898,4198
200,75,539986,3235
200,100,903996,3459
300,25,416526,6302
300,50,1119067,7751
300,75,0,0
300,100,0,0
