Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,61679,509
100,50,123644,546
100,75,181743,552
100,100,245379,477
200,25,236537,1133
200,50,534767,1522
200,75,497957,1103
200,100,875386,1226
300,25,408445,1691
300,50,1079398,2237
300,75,0,0
300,100,0,0
