Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,60351,493
100,50,123357,512
100,75,180196,565
100,100,242871,461
200,25,230627,1101
200,50,520194,1413
200,75,482153,945
200,100,838828,1213
300,25,390754,1647
300,50,1036804,2223
300,75,0,0
300,100,0,0
