Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,57110,49
100,50,111328,58
100,75,159307,51
100,100,224317,35
200,25,208363,191
200,50,453789,277
200,75,375396,214
200,100,733096,169
300,25,344502,695
300,50,927537,759
300,75,0,0
300,100,0,0
