Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,61721,532
100,50,125334,515
100,75,182787,553
100,100,247542,549
200,25,237650,1092
200,50,538769,1203
200,75,517837,932
200,100,874056,1039
300,25,411095,1607
300,50,1089678,2037
300,75,0,0
300,100,0,0
