Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,49884,6
100,50,95825,14
100,75,141184,7
100,100,209544,5
200,25,185405,8
200,50,385706,14
200,75,308566,11
200,100,685541,9
300,25,283819,14
300,50,824871,21
300,75,0,0
300,100,0,0
