Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,52620,3
100,50,97164,3
100,75,142765,4
100,100,206915,2
200,25,201138,11
200,50,417668,19
200,75,331484,17
200,100,679312,11
300,25,315985,52
300,50,860537,68
300,75,0,0
300,100,0,0
