Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,60018,1162
100,50,122578,1152
100,75,183455,1208
100,100,246025,1064
200,25,224212,3197
200,50,520524,3880
200,75,484569,3206
200,100,870398,3464
300,25,381457,5832
300,50,1052544,8183
300,75,0,0
300,100,0,0
