Tamaño,Densidad,Fitness Medio,Tiempo Medio
100,25,63132,660
100,50,130422,676
100,75,190434,737
100,100,256726,732
200,25,245491,1242
200,50,567904,1465
200,75,554541,1452
200,100,926800,1504
300,25,429967,1726
300,50,1156046,2388
300,75,0,0
300,100,0,0
